"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Pet API","2","0","Delete Pet","0"
"0","","0","Pet API","3","0","Retrieve Pets by Status","0"
"0","","0","Pet API","2","0","Retrieve Pet","0"
"0","","0","Pet API","1","0","Create Pet","0"
"0","","1","Pet API","1","0","Update Pet","0"
